Latitude,Longitude,Address
49.231737050105835,-123.07805293275155,"5816, Culloden Street, Sunset, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
49.23138778322836,-123.07515946225094,"Lanark Street, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada"
49.2315966229644,-123.07631132745735,"1446, Lanark Street, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada"
49.23212370051358,-123.07587141552561,"1446, Lanark Street, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada"
49.23277638084191,-123.076484351861,"Jak's Beer Wine Spirits, 1445, East 41st Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5P 1J8, Canada"
49.234379298712696,-123.08559280763724,"Sir Alexander Mackenzie Elementary School, East 40th Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
49.23355393702453,-123.08014543029465,"Inverness Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
49.233533174749745,-123.07802132378102,"Culloden Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
49.236107010762,-123.08615093875449,"East 37th Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
49.23383149156078,-123.07101105842975,"Argyle Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada"
49.22764987947976,-123.0326568555716,"Tyne Street, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada"
49.228900312402224,-123.03785272515124,"East 45th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada"
49.22883867899279,-123.0365834330261,"Doman Street, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada"
49.230244975995994,-123.04351345896414,"East 44th Avenue, Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5R, Canada"
49.23115579625351,-123.04887320513117,"Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5R, Canada"
49.232641001336546,-123.05497645636996,"2522, East 41st Avenue, Victoria-Fraserview, Vancouver, Metro Vancouver Regional District, British Columbia, V5R, Canada"
49.23552522600843,-123.06926588385427,"Commercial Street, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5P, Canada"
49.23738068893939,-123.0777885363707,"East 36th Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
49.237970282008575,-123.08112276824329,"East 35th Avenue, Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada"
