latitude,longitude,weight
49.24996320950779,-123.10822206579164,0.21
49.296057144512794,-123.17907592090219,0.55
49.27855951534491,-123.15617830271972,0.13
49.26789267873576,-123.14504572350594,0.92
49.23248149123539,-123.13158950236745,0.33
49.232479561626896,-123.08222360579104,0.7
49.22464668897346,-123.17004893267625,0.38
49.28929409166199,-123.12286483423796,0.57
49.26808920093946,-123.1111378146707,0.59
49.276645806223684,-123.193032438092,0.27
49.22164675954366,-123.10886827221478,0.97
49.297592788172956,-123.1744213814469,0.8
49.28659541126403,-123.1902422610522,0.95
49.23698712885426,-123.057667169412,0.91
49.234545997376564,-123.05515519503881,0.64
49.234672360788274,-123.07874039778252,0.93
49.24433937943676,-123.154307934624,0.18
49.26198051453058,-123.18534918289905,0.28
49.25455560149137,-123.09736504602317,0.14
49.24329833121584,-123.13397712593905,0.39
